t,s,phi1,Ds,Dphi1,u
4.316,0.0677137071942607,-7.61481808767103,-0.754901614403135,-0.189360920116233,0.850514325374113
4.31733333333333,0.066709823046602,-7.61504554608725,-0.749714324788385,-0.151810800651065,0.876326844090336
4.31866666666667,0.0657127434740074,-7.61522294893755,-0.744561077697923,-0.11423875167365,0.899664405942108
4.32,0.0647224487720216,-7.61535027526848,-0.739440065906827,-0.0766473307576521,0.920831008850015
4.32133333333333,0.0637389197901167,-7.61542750669093,-0.734349520598148,-0.0390390739147338,0.940131575869613
4.32266666666667,0.0627621379316909,-7.61545462738018,-0.729287711362902,-0.00141649559453488,0.957870489582541
4.324,0.0617920851540692,-7.61543162407585,-0.724252946200074,0.0362179113153291,0.974358417105831
4.32533333333333,0.0608287439685027,-7.61535848608194,-0.71924357151662,0.0738616754892668,0.989908321532423
4.32666666666667,0.059872097440169,-7.61523520526679,-0.714257972127458,0.111512347163711,1.004818341626
4.328,0.0589221291881716,-7.61506177606313,-0.709294571255477,0.149167498137143,1.01935621709195
4.32933333333333,0.057978823385542,-7.61483819546804,-0.704351830531538,0.186824721769994,1.03376293284982
4.33066666666667,0.0570421647592368,-7.61456446304295,-0.699428249994465,0.224481632984793,1.04827762779577
4.332,0.056112138590139,-7.61424058091368,-0.69452236809105,0.26213586826607,1.06315867247353
4.33333333333333,0.0551887307130578,-7.61386655377039,-0.689632761676051,0.299785085660403,1.07867678508095
4.33466666666667,0.0542719275167306,-7.6134423888676,-0.684758046012204,0.337426964776317,1.09508998188262
4.336,0.0533617159438193,-7.61296809602423,-0.679896874770202,0.37505920678444,1.11262855169783
4.33733333333333,0.0524580834909129,-7.61244368762351,-0.67504794002871,0.412679534417396,1.13150467367581
4.33866666666667,0.0515610182085268,-7.61186917861308,-0.670209972274361,0.450285691969834,1.15193503832586
4.34,0.0506705087011028,-7.61124458650491,-0.665381740401755,0.487875445298428,1.17414779199354
4.34133333333333,0.0497865441270091,-7.61056993137534,-0.660562051713462,0.525446581821875,1.19836471870749
4.34266666666667,0.0489091141985404,-7.60984523586508,-0.655749751920017,0.562996910520896,1.22478518314872
4.344,0.0480382091819172,-7.60907052517921,-0.650943725139923,0.600524261938261,1.25359018297161
4.34533333333333,0.0471738198972882,-7.60824582708715,-0.646142893899658,0.63802648817869,1.28494934754919
4.34666666666667,0.0463159377187266,-7.60737117192271,-0.641346219133659,0.675501462909,1.31901639079807
4.348,0.0454645545742327,-7.60644659258403,-0.636552700184335,0.71294708135801,1.35592491256817
4.34933333333333,0.0446196629457329,-7.60547212453364,-0.631761374802059,0.750361260316587,1.39579201781023
4.35066666666667,0.0437812558690813,-7.60444780579842,-0.626971319145181,0.787741938137545,1.43871642202878
4.352,0.042949326934057,-7.60337367696962,-0.622181647780011,0.825087074735799,1.48476411777898
4.35333333333333,0.0421238702843661,-7.60224978120285,-0.617391513680829,0.862394651588263,1.53395628533712
4.35466666666667,0.0413048806176408,-7.60107616421807,-0.612600108229883,0.899662671733874,1.58627346729875
4.356,0.0404923531854401,-7.59985287429964,-0.607806661217389,0.936889159773595,1.64167204393106
4.35733333333333,0.0396862837932493,-7.59857996229623,-0.60301044084153,0.97407216187041,1.70010239558191
4.35866666666667,0.0388866688004799,-7.59725748162091,-0.59821075370846,1.01120974574933,1.76152519670847
4.36,0.0380935051204697,-7.5958854882511,-0.593406944832293,1.04830000069742,1.82592356915562
4.36133333333333,0.0373067902204841,-7.59446404072859,-0.588598397635126,1.08534103756367,1.89329959594461
4.36266666666667,0.0365265221217136,-7.59299320015953,-0.58378453394701,1.12233098875921,1.96364892012316
4.364,0.0357526993992755,-7.59147303021442,-0.578964814005969,1.15926800825713,2.03693420365234
4.36533333333333,0.0349853211822137,-7.58990359712815,-0.574138736457994,1.19615027159256,2.11308407281272
4.36666666666667,0.0342243871534977,-7.58828496969994,-0.569305838357042,1.23297597586269,2.19201389470985
4.368,0.0334698975500253,-7.58661721929339,-0.564465695165048,1.26974333972664,2.27364491293611
4.36933333333333,0.032721853162619,-7.58490041983647,-0.559617920751902,1.30645060340564,2.35790472724942
4.37066666666667,0.0319802553360281,-7.58313464782151,-0.554762167395469,1.34309602868292,2.44470811463365
4.372,0.0312451059689287,-7.58131998230518,-0.54989812578158,1.37967789890373,2.53393970540625
4.37333333333333,0.030516407513923,-7.57945650490854,-0.545025525004034,1.41619451897533,2.62545726768468
4.37466666666667,0.0297941629775396,-7.577544299817,-0.540144132564599,1.45264421536703,2.71910000178288
4.376,0.0290783759202334,-7.57558345378034,-0.535253754373006,1.48902533611018,2.81468755019068
4.37733333333333,0.0283690504563866,-7.57357405611269,-0.530354234746965,1.52533625079808,2.91202802624527
4.37866666666667,0.027666191254307,-7.57151619869256,-0.525445456412143,1.56157535058611,3.01094218251724
4.38,0.0269698035362287,-7.5694099759628,-0.520527340502181,1.59774104819168,3.11127741670081
4.38133333333333,0.0262798930783128,-7.56725548493065,-0.515599846558684,1.63383177789419,3.21289462331884
4.38266666666667,0.0255964662106458,-7.5650528251677,-0.510662972531225,1.66984599553513,3.31564573777948
4.384,0.0249195298172425,-7.56280209880989,-0.505716754777352,1.70578217851791,3.41936686746452
4.38533333333333,0.0242490913360423,-7.56050341055753,-0.500761268062574,1.74163882580804,3.52388641213994
4.38666666666667,0.0235851587589118,-7.55815686767532,-0.495796625560369,1.77741445793303,3.62903457044525
4.388,0.0229277406316439,-7.55576257999228,-0.490822978852183,1.81310761698243,3.73465164628037
4.38933333333333,0.0222768460539579,-7.55332065990182,-0.485840517927432,1.84871686660781,3.84059253365557
4.39066666666667,0.0216324846794995,-7.55083122236171,-0.480849471183497,1.88424079202274,3.94671999484966
4.392,0.0209946667158406,-7.54829438489407,-0.475850105425726,1.91967800000286,4.05289562323274
4.39333333333333,0.0203634029244804,-7.54571026758539,-0.470842725867445,1.95502711888576,4.1589841481976
4.39466666666667,0.0197387046208437,-7.54307899308654,-0.465827676129935,1.99028679857112,4.2648604170123
4.396,0.0191205836742817,-7.54040068661271,-0.460805338242451,2.02545571052063,4.37039779559861
4.39733333333333,0.0185090525080724,-7.5376754759435,-0.455776132642217,2.06053254775799,4.47544499150923
4.39866666666667,0.0179041240994196,-7.53490349142284,-0.450740518174417,2.09551602486896,4.5798146650379
4.4,0.0173058119794548,-7.53208486595904,-0.445698992092218,2.13040487800124,4.68329378808946
