Var1,Var2
0.487,-0.0256942561025451
0.488,-0.0253129579935729
0.489,-0.0249343115772682
0.49,-0.0245583240540345
0.491,-0.02418500603691
0.492,-0.0238143732628725
0.493,-0.0234464489312462
0.494,-0.0230812664874999
0.495,-0.022718869601996
0.496,-0.0223593109682611
0.497,-0.0220026538139302
0.498,-0.021648973268576
0.499,-0.0212983538193032
0.5,-0.0209508855507357
0.501,-0.020606661534691
0.502,-0.0202657745255325
0.503,-0.0199283122035571
0.504,-0.0195943532892151
0.505,-0.0192639662229856
0.506,-0.0189372106077987
0.507,-0.0186141410497137
0.508,-0.0182948129675078
0.509,-0.017979289932725
0.51,-0.017667650878319
0.511,-0.0173599938985657
0.512,-0.0170564342866567
0.513,-0.0167570982909961
0.514,-0.0164621176204638
0.515,-0.0161716264945183
0.516,-0.0158857564880321
0.517,-0.0156046286964133
0.518,-0.0153283509977779
0.519,-0.0150570221165401
0.52,-0.0147907343404224
0.521,-0.0145295717800947
0.522,-0.0142736097416378
0.523,-0.0140229190776636
0.524,-0.0137775729275834
0.525,-0.0135376491084901
0.526,-0.0133032234078505
0.527,-0.0130743581117782
0.528,-0.0128510945431211
0.529,-0.0126334522856063
0.53,-0.0124214321350381
0.531,-0.0122150201659239
0.532,-0.0120141930076353
0.533,-0.0118189238005814
0.534,-0.0116291853087362
0.535,-0.0114449493619252
0.536,-0.0112661867773291
0.537,-0.0110928700444018
0.538,-0.0109249756810592
0.539,-0.0107624837288739
0.54,-0.0106053778393782
0.541,-0.0104536476393594
0.542,-0.0103072863135226
0.543,-0.010166281315914
0.544,-0.0100306080160623
0.545,-0.00990023024151354
0.546,-0.00977510123019443
0.547,-0.00965516426965768
0.548,-0.00954035810161319
0.549,-0.00943062402128381
0.55,-0.00932590739008421
0.551,-0.00922615512200659
0.552,-0.00913131651715526
0.553,-0.00904134899067099
0.554,-0.00895622230372151
0.555,-0.00887591612794975
0.556,-0.00880041288973954
0.557,-0.00872969176373556
0.558,-0.00866372681148503
0.559,-0.00860248848977979
0.56,-0.0085459482572145
0.561,-0.00849408469602575
0.562,-0.00844688437771912
0.563,-0.00840433535091722
0.564,-0.00836642186866771
0.565,-0.00833312683613807
0.566,-0.0083044374571406
0.567,-0.00828034684048629
0.568,-0.00826085115850778
0.569,-0.00824594717074162
0.57,-0.0082356321528046
0.571,-0.00822990371684984
0.572,-0.00822875899971626
0.573,-0.00823219640632561
0.574,-0.00824021885968695
0.575,-0.00825283265771387
0.576,-0.00827004139041659
0.577,-0.00829184196478316
0.578,-0.00831822565949131
0.579,-0.00834917863665186
0.58,-0.00838467903007539
0.581,-0.00842469526432521
0.582,-0.00846918788311585
0.583,-0.00851811171945216
0.584,-0.00857141660426386
0.585,-0.00862904731783326
0.586,-0.00869094300085665
0.587,-0.00875703731143679
0.588,-0.00882726186850896
0.589,-0.00890155261220466
0.59,-0.00897985632207499
0.591,-0.00906213530604827
0.592,-0.00914836790610191
0.593,-0.00923854307725153
0.594,-0.009332650993156
0.595,-0.00943067409407694
0.596,-0.00953258192173956
0.597,-0.00963833030921679
0.598,-0.00974786414954798
0.599,-0.00986112148534946
0.6,-0.00997803664432723
0.601,-0.01009854367056
0.602,-0.0102225810412124
0.603,-0.0103500948723037
0.604,-0.0104810378301692
0.605,-0.0106153628821187
0.606,-0.0107530143678147
0.607,-0.0108939233710303
0.608,-0.0110380100207599
0.609,-0.0111851878705285
0.61,-0.0113353665646618
0.611,-0.0114884514765962
0.612,-0.0116443407876046
0.613,-0.0118029248935211
0.614,-0.0119640905932306
0.615,-0.0121277260976826
0.616,-0.0122937226830835
0.617,-0.0124619725866762
0.618,-0.0126323663161843
0.619,-0.0128047920400567
0.62,-0.0129791357401238
0.621,-0.0131552801456089
0.622,-0.0133331013053156
0.623,-0.0135124634823361
0.624,-0.0136932152743421
0.625,-0.01387518920766
0.626,-0.0140582059708627
0.627,-0.0142420822262304
0.628,-0.0144266367810286
0.629,-0.0146116922519757
0.63,-0.0147970770948691
0.631,-0.0149826311990689
0.632,-0.0151682107594683
0.633,-0.0153536892843684
0.634,-0.0155389573222586
0.635,-0.0157239232528514
0.636,-0.0159085139679604
0.637,-0.0160926727256483
0.638,-0.0162763525018983
0.639,-0.0164595060133527
0.64,-0.016642076266539
0.641,-0.0168239912348711
0.642,-0.0170051639592633
0.643,-0.0171854984453226
0.644,-0.0173648991123876
0.645,-0.0175432785590179
0.646,-0.017720560484269
0.647,-0.0178966770006048
0.648,-0.0180715599385969
0.649,-0.0182451307647116
0.65,-0.0184172968195617
0.651,-0.0185879556477767
0.652,-0.0187570022092479
0.653,-0.0189243319964269
0.654,-0.0190898371546164
0.655,-0.0192534005674302
0.656,-0.0194148950128509
0.657,-0.019574188934654
0.658,-0.019731155273886
0.659,-0.0198856794086932
0.66,-0.0200376634590382
0.661,-0.0201870252519373
0.662,-0.0203336923123784
0.663,-0.0204775935487914
0.664,-0.0206186521849172
0.665,-0.020756783973043
0.666,-0.0208919022897519
0.667,-0.0210239241458729
0.668,-0.0211527683684903
0.669,-0.0212783470635025
0.67,-0.0214005596681222
0.671,-0.0215192940584974
0.672,-0.0216344295768042
0.673,-0.0217458366600157
0.674,-0.0218533759239678
0.675,-0.021956901458467
0.676,-0.0220562666203988
0.677,-0.0221513276419533
0.678,-0.022241942656577
0.679,-0.0223279681679442
0.68,-0.0224092589927102
0.681,-0.022485674619141
0.682,-0.0225570872085246
0.683,-0.0226233868722003
0.684,-0.022684482674229
0.685,-0.0227402976119701
0.686,-0.0227907589198453
0.687,-0.0228357903437476
0.688,-0.0228753095389556
0.689,-0.0229092289071378
0.69,-0.0229374598091289
0.691,-0.0229599184664586
0.692,-0.0229765277845462
0.693,-0.0229872134148781
0.694,-0.0229918992213085
0.695,-0.0229905053978838
0.696,-0.0229829479961308
0.697,-0.022969139067304
0.698,-0.0229489873970409
0.699,-0.0229224007908604
0.7,-0.0228892928291757
0.701,-0.0228495928861899
0.702,-0.0228032513583526
0.703,-0.0227502353735212
0.704,-0.0226905197946853
0.705,-0.022624080201275
0.706,-0.0225508885679654
0.707,-0.0224709096555836
0.708,-0.0223840989294413
0.709,-0.0222904039323679
0.71,-0.0221897701012386
0.711,-0.022082149688657
0.712,-0.021967509295992
0.713,-0.0218458313869241
0.714,-0.0217171094787916
0.715,-0.0215813414482929
0.716,-0.021438525194678
0.717,-0.021288657088038
0.718,-0.0211317313343964
0.719,-0.0209677390155399
0.72,-0.0207966681844279
0.721,-0.0206185068801421
0.722,-0.0204332486842054
0.723,-0.020240896811928
0.724,-0.0200414621703837
0.725,-0.0198349578975007
0.726,-0.0196213966411479
0.727,-0.0194007889744649
0.728,-0.0191731388656316
0.729,-0.0189384399672948
0.73,-0.0186966795110224
0.731,-0.0184478488934534
0.732,-0.0181919519665411
0.733,-0.0179290051685252
0.734,-0.0176590339477992
