t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
1.32,-0.281347101113008,-5.38197319930625,10.6171315077366,-2.46715670101026,-19.9238820127554,18.5880647353613,58.1905250526527
1.33,-0.303045918756817,-5.58855842238181,10.8074971638581,-1.8659897025406,-21.4710126272306,19.7362967302474,62.0548378987967
1.34,-0.318569499368669,-5.81298459707631,11.0157839195661,-1.2346676475436,-23.6072062147253,22.2495085604226,64.3855679163852
1.35,-0.327686830678516,-6.06426940681002,11.2597713047965,-0.587776305659139,-26.8594878401199,26.8802786697798,65.2259816353368
1.36,-0.33031459998531,-6.35720012653112,11.5646423159841,0.0611199971521401,-32.146464986369,34.7267034315354,64.6260089069051
1.37,-0.326507427042861,-6.71199670224634,11.9600904803132,0.697162338963706,-38.2845832287175,43.3300944023033,62.6153508948818
1.38,-0.316460844300076,-7.09466506899616,12.3800517364774,1.30624773578686,-36.8175285743748,37.9818785725199,59.2048407265461
1.39,-0.300519027500695,-7.44014966497391,12.6981903026871,1.87403073916469,-32.6680843111362,25.8372645338108,54.4072605797019
1.4,-0.279160930617233,-7.75765650935134,12.9038891012246,2.38728819242992,-31.2600667311729,15.5168759139389,48.2626324026086
1.41,-0.252997652415569,-8.07147947679559,13.0124910914669,2.83307470543252,-31.7180262012543,6.37581315937333,40.8545238156652
1.42,-0.222766484635107,-8.39409077036668,13.0356878847021,3.19889282366051,-32.7806614054197,-1.37071207802883,32.3188562700666
1.43,-0.189320014187183,-8.72572578750509,12.993507150934,3.47472275235456,-33.4379187538116,-6.56314929994538,22.8581074009593
1.44,-0.153598276531853,-9.06030029130109,12.9154585244432,3.65275485472585,-33.3478556863943,-8.47743142594418,12.7517468524761
1.45,-0.116607051988192,-9.39058642089949,12.8346790982417,3.72827479674783,-32.6214859511947,-7.1897801023063,2.341851589944
1.46,-0.0793790547343036,-9.7114537492474,12.7806680703676,3.70002575029109,-31.5187095531081,-3.20784599904114,-7.99409298456841
1.47,-0.0429431603840216,-10.0209504555739,12.7769713754626,3.57065300521766,-30.4125483789666,2.73278115344499,-17.8629807183046
1.48,-0.00828019475719773,-10.3214941932396,12.8392913637802,3.34714664084813,-29.8489996193914,9.89085499867976,-26.8758510519275
1.49,0.0237172505122757,-10.6215136401343,12.9768727123879,3.03927855265425,-30.5068220903129,17.9024780662946,-34.6756574154105
1.5,0.052268606350435,-10.9398393113473,13.2044320973703,2.6605904897022,-33.4662882478022,27.7613143024054,-40.9716066815966
1.51,0.0767495953469296,-11.2960279501864,13.5329630102717,2.22782395542844,-37.6450620542394,37.3437150189498,-45.5698073875554
1.52,0.0967026625734328,-11.6725632631287,13.9100610037458,1.75824855572788,-36.2477275728411,35.3663019823012,-48.3739115890734
1.53,0.111850883102495,-12.0083899066316,14.2126713795748,1.26973665128566,-31.0762091174466,25.1147624144951,-49.3611031257746
1.54,0.122091393980982,-12.3014585245842,14.419359309721,0.779456917607684,-27.8944529216424,16.5855138568211,-48.5770986691247
1.55,0.127497419257741,-12.5720031501365,14.5503663345665,0.306101664670977,-26.4297827405121,9.85992655125655,-46.1481457621478
1.56,0.128315318326927,-12.8330262070508,14.620571878792,-0.136047059492926,-25.8780826921243,4.35356187170277,-42.2701702544578
1.57,0.124922444516783,-13.0907220840493,14.6414943910479,-0.534184608479488,-25.6868969167713,0.054884369575726,-37.1849068929178
1.58,0.117820028931821,-13.3467790461723,14.6262360116675,-0.876146316064497,-25.5010807045009,-2.85256973560119,-31.1713898938323
1.59,0.107610936287638,-13.6001869341601,14.5894801155271,-1.15471988168481,-25.147771968411,-4.25363915592117,-24.5351128328408
1.6,0.0949528998482395,-13.8489797550373,14.5460237932895,-1.36529227044926,-24.5685341843718,-4.19608937529856,-17.5839336340688
1.61,0.0805374339963704,-14.0908374787735,14.5097995750416,-1.50627402650068,-23.759412300349,-2.84864400615553,-10.6158666281421
1.62,0.0650560752883767,-14.3235313685766,14.492446246537,-1.57900290120877,-22.761661144776,-0.487052450705576,-3.91813939696601
1.63,0.0491726024344909,-14.5457800994555,14.5022720155714,-1.58719047916208,-21.6903470638322,2.52717378657465,2.24901578983172
1.64,0.033503139044774,-14.7576629705051,14.5438862188604,-1.53775187846942,-20.7172096537283,5.81373165355557,7.67803179358602
1.65,0.0185891520235986,-14.960998393813,14.6186160451248,-1.43742223975109,-20.0051222817748,9.13119573246762,12.2250405311924
1.66,0.00488770038621694,-15.1589067026069,14.7260070474412,-1.29696906988766,-19.6840744188037,12.3829311320274,15.8134972529124
1.67,-0.00724818713022782,-15.3558026483414,14.8655973736386,-1.12567420839326,-19.8557573079298,15.6508870138494,18.4414280111208
1.68,-0.0175563228179941,-15.5582060791173,15.0402405143702,-0.932772936474058,-20.5713623178364,19.0760482409986,20.1707754464418
1.69,-0.0258609959913146,-15.7682991907132,15.2465962948125,-0.726890182311203,-21.3807154021867,22.0021995831628,21.091664369626
1.7,-0.0320727628941951,-15.9827426931824,15.4732855999521,-0.515275232414228,-21.2980183148115,22.9140369787382,21.2900866796053
1.71,-0.0361690162530869,-16.1893872137956,15.6954485027713,-0.304717380436256,-19.8756994910557,21.1998152360983,20.8359560975097
1.72,-0.0381922627545049,-16.3788739551625,15.8938646946275,-0.101628530550952,-18.0415910596103,18.4642541885739,19.7903186102653
1.73,-0.0382457965845109,-16.5516036206024,16.065939662384,0.0883072456210785,-16.5852291029007,16.029631833846,18.2292843163837
1.74,-0.0364853072908066,-16.7122576529217,16.2160875475487,0.260552116550911,-15.6265812707238,14.0733057622164,16.2604400256801
1.75,-0.0331037744830237,-16.8655429516932,16.3486255932338,0.411912722174504,-15.101413570774,12.4509356862911,14.001020672332
1.76,-0.0283258940419047,-17.015491624767,16.4658043563458,0.539635798370105,-14.9449813926883,10.9993083655361,11.5418984477996
1.77,-0.0223958027009861,-17.1654771727432,16.5687772287062,0.64214030615297,-15.0913157782442,9.62837719416108,8.95192845335572
1.78,-0.0155702542128878,-17.3180680093749,16.6584692353685,0.718498993245786,-15.4531298446992,8.33320187439961,6.31781231323852
1.79,-0.00811219591231552,-17.4749270901026,16.7359787155329,0.768734501713028,-15.9152661361981,7.22800285127394,3.76200954175332
1.8,-0.000276306620244457,-17.6361264536742,16.8045505336664,0.794633678920105,-16.3122138550518,6.56365541691783,1.4119385966585
1.81,0.00770679874711086,-17.800486949326,16.8694475457854,0.798669406634713,-16.5222177637713,6.53441348217258,-0.644388864290091
1.82,0.0156334126163614,-17.9657572468254,16.9377307983866,0.783772498115077,-16.490259046635,7.24167526106023,-2.36637740355468
1.83,0.0233302648389918,-18.1296966874539,17.0165184895465,0.753334742721312,-16.2883140542239,8.58446050911535,-3.73516224991159
1.84,0.0306595189855081,-18.291448215208,17.1107697913368,0.710877035850252,-16.0717087198762,10.3430547119734,-4.73914057373216
1.85,0.0375199381750065,-18.4516237791281,17.2241012466978,0.660093543088593,-15.9934966254945,12.3728429324884,-5.37979093304833
1.86,0.0438470974117662,-18.6122412999403,17.3587937049129,0.604808675350397,-16.1951302085396,14.6064229308775,-5.66323069457599
1.87,0.0496136775000989,-18.7765303926855,17.5166377743882,0.548397872731867,-16.789239641622,17.1010495591213,-5.57030894342538
1.88,0.0548292745177388,-18.9500643877837,17.7028443871098,0.495596155543703,-17.9350107443573,20.1124465528477,-5.04335508876435
1.89,0.0595520776270764,-19.1367991155621,17.9202373618472,0.45104237692435,-19.4326618069547,23.3454343294814,-4.01291786812599
1.9,0.0638890156077335,-19.3377784366189,18.1672668185588,0.418948725729871,-20.5665909006623,25.7002108708491,-2.44019649044219
1.91,0.0679908004321863,-19.5423911117452,18.4241493187979,0.404888570418753,-20.0768236991688,25.1875539305427,-0.339411988622279
1.92,0.0720653872158717,-19.7342336507988,18.6620960965631,0.414325636338419,-18.1919014471989,22.2042043162842,2.22542514233329
1.93,0.0763693036858826,-19.9063202607274,18.86767487817,0.451319420030259,-16.2873947924166,18.9734759507013,5.14977720000073
1.94,0.0811929034612263,-20.0616489717764,19.0434587881183,0.518580359752041,-14.8604313224239,16.27477422399,8.2936588456313
1.95,0.0868441603768735,-20.2050071385023,19.1948741020617,0.6168159216852,-13.8789160336258,14.0518802273296,11.3877893878418
1.96,0.0936275872078537,-20.3403412715456,19.3257182335096,0.743478229925005,-13.2366490415428,12.1585078155733,13.9656742465953
1.97,0.101792046828462,-20.4705213657212,19.4387777865911,0.892323546364905,-12.8265899537412,10.5119731464118,15.6436101990223
1.98,0.111511480353092,-20.5972924796754,19.5365931388587,1.05323195791297,-12.5364469722329,9.09927934900993,16.3749015546272
1.99,0.122863485948554,-20.7213953906439,19.6215880564956,1.21675525155659,-12.2721754215081,7.96541929399292,16.3009717943942
2,0.135832826278036,-20.8426047833504,19.6970249774376,1.37624345320729,-11.9668605035505,7.17084859541123,15.5742321847278
2.01,0.15035142565714,-20.960379859179,19.7663276854549,1.52575434345977,-11.5852782061519,6.73387456022968,14.3321362064347
2.02,0.166299370792064,-21.0740470178618,19.832811897882,1.66080253697345,-11.1315081755263,6.62067282851143,12.6976934398598
2.03,0.183511150009786,-21.1829121837616,19.8995581039939,1.77816623932735,-10.6457665709442,6.75005993700847,10.7800437207511
