t,s,phi1,Ds,Dphi,u,DDs,DDphi
5.19066666666667,0.150044660375833,-0.445663888019574,0.860291598211127,-10.350075086333,11.2636292525112,-6.20768977711505,34.0033505687964
5.192,0.151185049942468,-0.459432879867954,0.851885687878408,-10.3040353008957,11.0871007726813,-6.4046729567565,34.8468179262106
5.19333333333333,0.152314348266025,-0.473141259741035,0.843201969577092,-10.2567970663198,10.9028887045156,-6.59503164215166,35.6555512125155
5.19466666666667,0.153432198909243,-0.48678745181275,0.834249537316478,-10.2084090665847,10.7111809426159,-6.77877302041648,36.4297235177477
5.196,0.154538251392284,-0.500369913555082,0.825037903729952,-10.1589218751004,10.5121764432718,-6.95592422928336,37.1695985625316
5.19733333333333,0.155632161192734,-0.513887135738067,0.815577000074984,-10.1083879547072,10.3061001765293,-7.12652013903785,37.8754928758451
5.19866666666667,0.156713589745603,-0.527337642429797,0.805877176233126,-10.0568616576759,10.0932180279286,-7.29059146697179,38.5477403552052
5.2,0.157782204443321,-0.540719990996392,0.795949200710033,-10.0043992257077,9.87383477103976,-7.44816557534292,39.1866938764625
5.20133333333333,0.158837678635747,-0.554032772102046,0.785804260635429,-9.95105878993412,9.64827425683956,-7.59928014162081,39.7927625698526
5.20266666666667,0.15987969163016,-0.567274609708998,0.775453961763128,-9.89690037091729,9.41686006863302,-7.74399603813981,40.366445027441
5.204,0.160907928691264,-0.580444161077536,0.764910328471032,-9.84198587864962,9.1799101630185,-7.88239970693036,40.9083319245888
5.20533333333333,0.161922081041185,-0.593540116766006,0.75418580376112,-9.78637911255396,8.93773549910998,-8.01460256528963,41.419100128882
5.20666666666667,0.162921845859474,-0.606561200630783,0.74329324925948,-9.73014576148367,8.69062821636873,-8.14074784778326,41.8995267336585
5.208,0.163906926283104,-0.619506169826315,0.732245945216262,-9.67335340372245,8.43884473550327,-8.26102081768489,42.3505109477588
5.20933333333333,0.164877031406473,-0.632373814805092,0.721057590505713,-9.61607150698444,8.18260133552029,-8.37564984945886,42.7730702868856
5.21066666666667,0.165831876281403,-0.645162959317658,0.709742302626161,-9.55837142841422,7.92208885784029,-8.48489404352541,43.1683012879037
5.212,0.166771181917136,-0.657872460412605,0.698314617700025,-9.50032641458676,7.65749447929248,-8.58902628100601,43.5373301724587
5.21333333333333,0.16769467962968,-0.670501347178105,0.686786886846203,-9.44199818730665,7.38901597446623,-8.68828483830093,43.8811841369392
5.21466666666667,0.168602208390508,-0.683050405356012,0.67514120219221,-9.38329196233352,7.11686321220617,-8.7824697080542,44.1997547860402
5.216,0.169493688322922,-0.69551978065688,0.663375697016352,-9.32419478221433,6.8412484101471,-8.87160897868944,44.4935479420359
5.21733333333333,0.170369040047465,-0.707909222312348,0.651496488992479,-9.26473478699457,6.56237624851064,-8.9558511878427,44.763382535295
5.21866666666667,0.171228186548218,-0.720218493735981,0.639509561606801,-9.20493947530078,6.28044559351693,-9.03534763099279,45.0100805829893
5.22,0.1720710531728,-0.73244737252327,0.627420764157883,-9.14483570434053,5.99565887105485,-9.11024534971926,45.2344487160597
5.22133333333333,0.172897567632365,-0.744595650451648,0.615235811756631,-9.08444968990237,5.70823045809377,-9.18068101779292,45.4372630254706
5.22266666666667,0.173707660001604,-0.75666313348045,0.602960285326332,-9.02380700635601,5.41839011111267,-9.24677836555356,45.6192633596342
5.224,0.174501262718747,-0.768649641750969,0.590599631602599,-8.96293258665205,5.12637768627833,-9.30865152553105,45.7811620197114
5.22533333333333,0.175278310585559,-0.780555009586419,0.578159163133405,-8.90185072232214,4.83243527222088,-9.36641003106583,45.9236558180435
5.22666666666667,0.176038740767343,-0.792379085491943,0.56564405827908,-8.84058506347898,4.53680436114923,-9.42016036501066,46.0474294589381
5.228,0.176782492792937,-0.804121732154617,0.553059361212303,-8.77915861881629,4.23971713258897,-9.47001137337179,46.1531674718572
5.22933333333333,0.177509508554719,-0.815782826443445,0.540409981918107,-8.71759375560879,3.94137752741247,-9.51608625925816,46.2415800256931
5.23066666666667,0.178219732308602,-0.827362259409369,0.527700696193869,-8.6559121997122,3.64195292842234,-9.55852735565852,46.3134108076788
5.232,0.178913110674035,-0.83885993628524,0.514936145649346,-8.59413503556339,3.34158516120903,-9.59748823981906,46.3694164733582
5.23333333333333,0.179589592634006,-0.85027577648586,0.502120837706619,-8.53228270618013,3.04040707565195,-9.6331224756916,46.4103401579888
5.23466666666667,0.180249129535039,-0.861609713607955,0.489259145600134,-8.47037501316124,2.73856130820876,-9.66557127112648,46.4368845950245
5.236,0.180891675087195,-0.872861695430181,0.476355308376688,-8.40843111668658,2.43622095767976,-9.69495024264616,46.4496854789319
