t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
1.13,-0.000324164955486756,-0.00303069083872459,0.00562511303014116,0.0110738989394466,-0.0556994618897535,0.0105449513811236,-0.0785573719583056
1.14,-0.000217505332825829,-0.00356544645210379,0.00571356598172609,0.010235121538524,-0.0511644662829457,0.00713105833443678,-0.0887598341943201
1.15,-0.000119731610237367,-0.00405248409869178,0.00576714010411713,0.00930154877134393,-0.0462006760487761,0.00360479802907378,-0.0975946679390103
1.16,-3.17338585652299e-05,-0.00448787760094405,0.0057849436761149,0.00828720812190462,-0.0408720570294993,-4.42027749870955e-06,-0.105171138020079
1.17,4.57541598752911e-05,-0.0048684332489571,0.00576643400887207,0.00720457256859789,-0.0352397275991714,-0.00366559919592783,-0.11149619229337
1.18,0.000112133436492735,-0.00519161087057221,0.00571139582743489,0.00606475973654042,-0.0293617897931818,-0.00734710312888682,-0.116531183604976
1.19,0.000166870068543128,-0.00545515988733491,0.00561974558375993,0.0048800457737345,-0.0232988185927374,-0.0110189075488673,-0.120295105936306
1.2,0.000209602384839768,-0.00565751223499122,0.00549162753246594,0.00366353880973627,-0.0171163822058291,-0.0146480726093339,-0.122855368217479
1.21,0.000240081895705731,-0.00579771979291429,0.00532752302914325,0.0024275878106228,-0.0108773432181454,-0.0182026440081479,-0.124252489316168
1.22,0.000258165029549354,-0.00587543138821009,0.0051282503569642,0.00118374965414274,-0.00464143074394036,-0.0216520762085017,-0.124519619717067
1.23,0.000263813132864242,-0.00589089279571745,0.00489496472668311,-5.72108702837186e-05,0.00153475957396679,-0.0249672324389188,-0.123732042489095
1.24,0.000257092470229258,-0.00584494673800803,0.00462915827663631,-0.00128532106156483,0.00759776556419128,-0.0281203846932537,-0.121975013518509
1.25,0.000238174224308534,-0.00573903288538634,0.00433266007274212,-0.00249140030693727,0.013497258526783,-0.0310852137306919,-0.119318381661314
1.26,0.000207334495851462,-0.00557518785588972,0.00400763610850089,-0.00366706008196621,0.0191860432332265,-0.0338368090757501,-0.115853815122425
1.27,0.000164999606438899,-0.00535603741826787,0.00365640882888403,-0.00480378306946709,0.0246180909894985,-0.0363525733326941,-0.111712512608581
1.28,0.000111600232375193,-0.00508419180672596,0.0032812219814567,-0.00589532465817369,0.0297551320462804,-0.0386112026572892,-0.107008050792317
1.29,4.74169980029594e-05,-0.00476232696374882,0.00288491800923617,-0.00693825903907553,0.0345665333110284,-0.0405905184588334,-0.101695923520889
1.3,-2.70633688820425e-05,-0.00439382817669042,0.00247042734541713,-0.00792367769751656,0.0390091849578792,-0.0422731497377071,-0.0954226418640576
1.31,-0.000111132104749836,-0.0039828091070028,0.00204073304876242,-0.0088368508980811,0.0430267117958786,-0.0436467996409228,-0.0875152053789194
1.32,-0.000203858410336224,-0.00353411179023607,0.00159887080360302,-0.00965722768459386,0.0465494732689819,-0.0447042454621258,-0.0771398158232033
1.33,-0.00030408945064279,-0.00305330663603837,0.00114792891983809,-0.01035843588012,0.0494945634560542,-0.0454433386415932,-0.0635283665069814
1.34,-0.000410450354936898,-0.00254669242815594,0.000691048332934944,-0.0109082820869649,0.0517658110708698,-0.0458670047662348,-0.0462036892887156
1.35,-0.000521344216751695,-0.00202129632443306,0.00023142260392905,-0.0112687516866747,0.0532537794621129,-0.0459832435695925,-0.0251657536518067
1.36,-0.000634888142446806,-0.00148497116552427,-0.000227815398505051,-0.0113989455915457,0.0538443085873354,-0.0458045408574509,-0.000977943029076452
