t,s,phi1,phi2,phi3,Ds,Dphi1,Dphi2,Dphi3,u
0.555,0.444970459788629,-0.278024230961078,-0.703133594068812,-0.339413178761691,-0.637557767509177,5.92782645070242,-1.14534155893837,-2.13417486215594,-21.6712687932866
0.56,0.441514064209795,-0.247816400749046,-0.708271746357595,-0.350247542451095,-0.745159373902561,6.15711444042804,-0.919385370905002,-2.19581036231238,-21.3759940122049
0.565,0.437523402135608,-0.216494134189845,-0.712233041617166,-0.361388261735256,-0.850975046859449,6.36998207546169,-0.669162708070637,-2.25832422452541,-20.9588671315253
0.57,0.433008021529707,-0.184141079183921,-0.714900653410299,-0.372835798431666,-0.954705092425287,6.56534951667121,-0.394667817529847,-2.32066465208669,-20.5417402508457
0.575,0.427979135444765,-0.150848513156564,-0.716153595810121,-0.384586669177568,-1.05606358599646,6.74230532549831,-0.096270143690008,-2.3816641581698,-20.0126351523805
0.58,0.422449622022492,-0.116715343057907,-0.715866723400121,-0.396633445429959,-1.15477837232027,6.90010646395851,0.225285671728694,-2.44003956583029,-19.4835300539153
0.585,0.416434024493629,-0.081848105362928,-0.713910731274143,-0.408964753465591,-1.25059106549499,7.03817829464116,0.56887978969329,-2.49439200800563,-18.8540531431769
0.59,0.409947819671768,-0.0463506727459967,-0.710168801819234,-0.421557699219056,-1.34325656176553,7.15606510948504,0.93304089171734,-2.54345215702828,-18.2245762324384
0.595,0.403006428581544,-0.0103109365374594,-0.704563856720532,-0.434373272918307,-1.43255138047748,7.25307916414958,1.31592699159169,-2.58676495428079,-17.5083496539019
0.6,0.395627598594632,0.0261607969190541,-0.697001966263329,-0.447386683241117,-1.51827585353757,7.32845206584575,1.71537183566126,-2.62373189056546,-16.7921230753654
0.605,0.387829843687228,0.0629514001370687,-0.687401956506131,-0.460569281024117,-1.6002449732248,7.38149094601231,2.12905786048725,-2.65370605299356,-16.0039187151681
0.61,0.379632352386364,0.0999461869265468,-0.675697367421912,-0.473887525564909,-1.67828812094332,7.41157895131013,2.55452160797352,-2.67601297362211,-15.2157143549708
0.615,0.37105498776991,0.137028912393888,-0.661836452898116,-0.487302984622068,-1.75224906722247,7.41817524362212,2.98915372536653,-2.68995062945387,-14.3703106040266
0.62,0.362118287466577,0.174081772941928,-0.645782180736658,-0.500772334415138,-1.82198597171673,7.40081500005328,3.43019896525538,-2.69478944243734,-13.5249068530824
0.625,0.352843463655911,0.210985406269942,-0.627512232653923,-0.514247359624636,-1.88737138320578,7.35910941293069,3.8747561855718,-2.68977227946676,-12.6347185564921
0.63,0.343252403068297,0.24761889137364,-0.607019004280767,-0.527674953392051,-1.94829223959444,7.29274568980349,4.31977834959017,-2.67411445238211,-11.7445302599017
0.635,0.333367666984959,0.28385974854517,-0.584309605162517,-0.540997117319842,-2.0046498679127,7.20148705344291,4.76207252592747,-2.64700371796913,-10.8165039741165
0.64,0.323212491237957,0.319583939373118,-0.559405858758967,-0.554150961471441,-2.05635998431573,7.08517274184226,5.19829988854334,-2.60760027795928,-9.88847768833123
0.645,0.312810786210193,0.354665866742506,-0.532344302444386,-0.567068704371249,-2.10335269408387,6.9437180082169,5.62497571674002,-2.55503677902977,-8.92346589396826
0.65,0.302185933074817,0.388989558570769,-0.503174388931847,-0.579693091555029,-2.14556178031969,6.77700603906634,6.03925739433165,-2.48843956968981,-7.95845409960529
0.655,0.291361772119104,0.422432314535236,-0.471968742563527,-0.591959375516323,-2.1828686305923,6.58552311139047,6.43891529448659,-2.40680748969696,-6.95545908911162
0.66,0.280363953830062,0.454859682679993,-0.438815559361696,-0.603778202167335,-2.21515162537326,6.37034967288082,6.82130340177941,-2.30916266001655,-5.95246407861794
0.665,0.269218193318124,0.486147735963604,-0.403808425000244,-0.615060384446395,-2.24231345773679,6.13271441143743,7.18417588337165,-2.19469453142015,-4.91578695384896
0.67,0.257950264922774,0.516183131501345,-0.367046295399779,-0.625716975883219,-2.26428115460799,5.87399326730196,7.52569005189629,-2.06276014018725,-3.87910982907997
0.675,0.246586002212548,0.544863110565205,-0.328633496727633,-0.635659270598914,-2.28100607676281,5.59570943305772,7.84440636545772,-1.91288410810526,-2.82292435990525
0.68,0.235151297985032,0.572095498583886,-0.288679725397855,-0.644798803305971,-2.29246391882808,5.29953335362964,8.1392884276318,-1.74475864246953,-1.76673889073053
0.685,0.223672104266864,0.597798705142802,-0.247300048071217,-0.65304734930827,-2.29865470928147,4.9872827262843,8.40970298746578,-1.5582435360833,-0.713280383240056
0.69,0.212174432313735,0.621901723984077,-0.204614901655211,-0.660316924501078,-2.29960281045154,4.66092250062989,8.6554199394784,-1.35336616725777,0.340178124250423
0.695,0.200684352610385,0.64434413300655,-0.16075009330405,-0.66651978537105,-2.29535691851771,4.32256487861626,8.87661232365978,-1.13032149981203,1.36676799735198
0.7,0.189227994870607,0.665076094265769,-0.115836800418667,-0.671568428996227,-2.28599006351026,3.97446931453489,9.07385632547151,-0.889472083073119,2.39335787045354
0.705,0.177831523683999,0.684058134642669,-0.0700113563799486,-0.675375576604841,-2.27159903300683,3.61904019720104,9.24812407062831,-0.631358958576054,3.37216608439729
0.71,0.166519487025243,0.701250033786938,-0.0233917159436098,-0.677854416273478,-2.25228371115695,3.25859542841431,9.4003722639682,-0.35725924627219,4.35097429834106
0.715,0.155315776027104,0.716629945507878,0.0239309556148413,-0.678924124313536,-2.22820889823798,2.89525633845705,9.53187494982513,-0.0681635843442713,5.26593008002008
0.72,0.144243937665345,0.730192207281896,0.0718656581940151,-0.678509847893585,-2.19956955859855,2.53108399596713,9.64397270297681,0.235245476219127,6.18088586169909
0.725,0.133326445443195,0.74193915261113,0.120322799127218,-0.676541800658306,-2.166563706608,2.16804259831783,9.73779733003735,0.552202010939147,7.02051994745538
0.73,0.12258469939134,0.751881111023456,0.169214193182454,-0.672955262728488,-2.12939240665636,1.80799947161789,9.81427186945723,0.881856721846645,7.86015403321167
0.735,0.11203902606793,0.760036408072484,0.21845306256242,-0.667690580701029,-2.08825977315439,1.45272507071146,9.87411059152329,1.22327693748219,8.61711359339531
0.74,0.101708678558576,0.766431365337557,0.267954036904514,-0.660693167648935,-2.04337297053353,1.1038929791781,9.91781899835874,1.57544661289608,9.37407315357894
0.745,0.0916118364763511,0.771100300423757,0.317633153280827,-0.651913503121325,-1.99494221324594,0.76307990933283,9.94569382392315,1.93726632964832,10.0435131416943
0.75,0.0817656059617894,0.774085526961896,0.367407856198147,-0.641307133143422,-1.94318076576446,0.431765702226065,9.95782303401249,2.30755329580861,10.7129531298096
0.755,0.0721860196828867,0.775437354608525,0.417196997597958,-0.628834670216562,-1.88830494258266,0.111333327643665,9.95408582625907,2.68504134595641,11.28943733282
0.76,0.0628880368351005,0.775214089045926,0.466920836856441,-0.614461793318188,-1.83053410821479,-0.196931115893089,9.93415263013158,3.06838094118086,11.8659215358304
0.765,0.0538855431413497,0.773482031982119,0.516501040784473,-0.598159247901852,-1.77009067719582,-0.491838401127489,9.89748510693509,3.45613916908083,12.3417322413633
0.77,0.0451914308900192,0.770312208955439,0.56586273899294,-0.579903522367087,-1.707207434011,-0.772158708956129,9.84322153746163,3.84690135841799,12.8175429468962
0.775,0.0368175860861986,0.765768608546239,0.614928913344593,-0.559687386900982,-1.64219184821152,-1.03618854627515,9.76984210985455,4.23913193657625,13.1846107609771
0.78,0.0287735641140779,0.759942771180567,0.66358786218202,-0.537519262394313,-1.57535358677539,-1.28357893209165,9.67687683845278,4.62974714657226,13.551678575058
0.785,0.0210674661881083,0.75292629958368,0.711728498847587,-0.513417448376714,-1.5069883812935,-1.51439833263083,9.5642383788428,5.01573016602885,13.8047567523218
0.79,0.013706098659183,0.744805470045219,0.759245397523354,-0.48741019033028,-1.43738394976877,-1.728913983152,9.43204405209305,5.3943660671058,14.0578349295855
0.795,0.00669497301463758,0.735661232419204,0.80603879323108,-0.459535679689569,-1.36681999661618,-1.92759188794865,9.28061584475394,5.76324181649985,14.1961954221843
0.8,3.83058782498155e-05,0.725569210124038,0.852014581832224,-0.429842053841601,-1.29556821266272,-2.11109682034843,9.11048040885788,6.12024627544468,14.3345559147832
0.805,-0.00626098098976044,0.714599700142503,0.897084320027939,-0.398387396125857,-1.22389227514748,-2.28029232271311,8.92236906191924,6.46357019971094,14.3627462922895
0.81,-0.0122012606927311,0.702817673021765,0.94116522535908,-0.365239735834282,-1.15204784772153,-2.43624070643864,8.71721778693438,6.7917062396062,14.3909366697958
0.815,-0.0177822011975579,0.690282772873368,0.984180176206197,-0.330477048211283,-1.08028258044803,-2.58020305195509,8.49616723238163,7.10344893997502,14.3191260437383
